Feedstock,Pathway,Fuel,CI Cultivation,CI Harvesting,CI Transport,CI Preprocessing,CI Conversion,CI Combustion,CI Total (kg CO2e/MJ),Fossil Baseline,GHG Reduction %
Forestry Residues,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,0.00000,0.00109,0.00073,0.00475,0.03850,0.00000,0.04508,0.09060,50.24000
Soybean Oil,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,0.00835,0.00103,0.00069,0.00031,0.03480,0.00000,0.04518,0.09060,50.13000
Corn Grain,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,0.00468,0.00071,0.00048,0.00040,0.04010,0.00000,0.04638,0.09060,48.81000
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,0.00578,0.00071,0.00048,0.00021,0.04010,0.00000,0.04729,0.09060,47.81000
Sugarcane Bagasse,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,0.00100,0.00109,0.00073,0.00760,0.03850,0.00000,0.04893,0.09060,45.99000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,0.00076,0.00041,0.00028,0.00035,0.06200,0.00000,0.06380,0.08800,27.50000
Camelina,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,0.00156,0.00041,0.00028,0.00000,0.06200,0.00000,0.06424,0.08800,26.99000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,0.00176,0.00041,0.00028,0.00021,0.06200,0.00000,0.06466,0.08800,26.52000
Corn Grain,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,0.00270,0.00041,0.00028,0.00023,0.06200,0.00000,0.06563,0.08800,25.42000
Soybean Oil,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,0.00334,0.00041,0.00028,0.00012,0.06200,0.00000,0.06615,0.08800,24.83000
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,0.00000,0.00071,0.00048,0.04972,0.02980,0.00000,0.08071,0.09060,10.92000
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,0.00000,0.00071,0.00048,0.04972,0.04010,0.00000,0.09101,0.09060,-0.45000
Algae (Raceway),Algae → HEFA-SAF (Wet Lipid Extraction),SAF,0.00000,0.00041,0.00028,0.02873,0.06200,0.00000,0.09141,0.08800,-3.88000
Algae (Raceway),Miscanthus → Cellulosic Ethanol,Ethanol,0.00000,0.00092,0.00061,0.06383,0.03200,0.00000,0.09736,0.09060,-7.47000
Algae (Raceway),Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,0.00000,0.00103,0.00069,0.07181,0.03480,0.00000,0.10834,0.09060,-19.58000
