feedstock_name,pathway_name,fuel_product,scenario_name,transport_distance_km,transport_mode,grid_scenario,ci_total_kg_per_mj,reduction_pct
Switchgrass,Camelina → HEFA-SAF,SAF,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.00943,89.28000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Central (80 km truck, current grid)",80,truck,current,0.06466,26.52000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Near   (40 km truck, current grid)",40,truck,current,0.06452,26.68000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Far   (160 km truck, current grid)",160,truck,current,0.06494,26.21000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Rail  (400 km rail,  current grid)",400,rail,current,0.06482,26.34000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,Renewable grid (80 km truck),80,truck,renewable,0.06466,26.52000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.06452,26.68000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.03441,62.02000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.03417,62.29000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.03489,61.49000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.03468,61.72000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.03441,62.02000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.03417,62.29000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.04471,50.65000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.04447,50.92000
