Feedstock,Pathway,Fuel,Stage,CI (kg CO2e/MJ),Share of Total %
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,5. Conversion,0.06200,95.88321
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,6. Combustion,0.00000,0.00000
Corn Grain,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,1. Cultivation,0.00270,4.11879
Corn Grain,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,2. Harvesting,0.00041,0.62932
Corn Grain,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,3. Transport,0.00028,0.42209
Corn Grain,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,4. Preprocessing,0.00023,0.35657
Corn Grain,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,5. Conversion,0.06200,94.47475
Corn Grain,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,6. Combustion,0.00000,0.00000
Soybean Oil,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,1. Cultivation,0.00334,5.04739
Soybean Oil,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,2. Harvesting,0.00041,0.62431
Soybean Oil,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,3. Transport,0.00028,0.41873
Soybean Oil,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,4. Preprocessing,0.00012,0.18744
Soybean Oil,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,5. Conversion,0.06200,93.72213
Soybean Oil,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,6. Combustion,0.00000,0.00000
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,1. Cultivation,0.00000,0.00000
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,2. Harvesting,0.00071,0.88465
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,3. Transport,0.00048,0.59348
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,4. Preprocessing,0.04972,61.59831
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,5. Conversion,0.02980,36.92231
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,6. Combustion,0.00000,0.00000
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,1. Cultivation,0.00000,0.00000
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,2. Harvesting,0.00071,0.78453
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,3. Transport,0.00048,0.52632
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,4. Preprocessing,0.04972,54.62696
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,5. Conversion,0.04010,44.06109
Algae (Raceway),"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,6. Combustion,0.00000,0.00000
Algae (Raceway),Algae → HEFA-SAF (Wet Lipid Extraction),SAF,1. Cultivation,0.00000,0.00000
Algae (Raceway),Algae → HEFA-SAF (Wet Lipid Extraction),SAF,2. Harvesting,0.00041,0.45179
Algae (Raceway),Algae → HEFA-SAF (Wet Lipid Extraction),SAF,3. Transport,0.00028,0.30302
Algae (Raceway),Algae → HEFA-SAF (Wet Lipid Extraction),SAF,4. Preprocessing,0.02873,31.42298
Algae (Raceway),Algae → HEFA-SAF (Wet Lipid Extraction),SAF,5. Conversion,0.06200,67.82331
Algae (Raceway),Algae → HEFA-SAF (Wet Lipid Extraction),SAF,6. Combustion,0.00000,0.00000
Algae (Raceway),Miscanthus → Cellulosic Ethanol,Ethanol,1. Cultivation,0.00000,0.00000
Algae (Raceway),Miscanthus → Cellulosic Ethanol,Ethanol,2. Harvesting,0.00092,0.94182
Algae (Raceway),Miscanthus → Cellulosic Ethanol,Ethanol,3. Transport,0.00061,0.63164
Algae (Raceway),Miscanthus → Cellulosic Ethanol,Ethanol,4. Preprocessing,0.06383,65.56052
Algae (Raceway),Miscanthus → Cellulosic Ethanol,Ethanol,5. Conversion,0.03200,32.86602
Algae (Raceway),Miscanthus → Cellulosic Ethanol,Ethanol,6. Combustion,0.00000,0.00000
Algae (Raceway),Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,1. Cultivation,0.00000,0.00000
Algae (Raceway),Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,2. Harvesting,0.00103,0.95259
Algae (Raceway),Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,3. Transport,0.00069,0.63875
Algae (Raceway),Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,4. Preprocessing,0.07181,66.28637
Algae (Raceway),Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,5. Conversion,0.03480,32.12229
Algae (Raceway),Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,6. Combustion,0.00000,0.00000
